route_id,service_id,trip_id,direction_id
R_01,SV_DAILY,TRIP_R_01_DIR0_0500,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0510,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0520,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0530,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0540,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0550,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0600,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0610,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0620,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0630,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0640,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0650,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0700,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0710,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0720,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0730,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0740,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0750,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0800,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0810,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0820,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0830,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0840,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0850,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0900,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0910,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0920,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0930,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0940,0
R_01,SV_DAILY,TRIP_R_01_DIR0_0950,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1000,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1010,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1020,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1030,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1040,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1050,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1100,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1110,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1120,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1130,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1140,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1150,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1200,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1210,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1220,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1230,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1240,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1250,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1300,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1310,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1320,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1330,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1340,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1350,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1400,0
R_01,SV_DAILY,TRIP_R_01_DIR0_1410,0
